RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,PulseWidth,PulseWidthSlotIdx,TTI
1,98,79,19,5,90,75,15,5,48,2501,4
2,101,85,16,5,94,78,16,5,48,2501,4
3,119,100,19,5,92,76,16,5,48,2501,4
4,119,98,21,5,96,77,19,5,48,2501,4
5,121,96,25,5,92,77,15,5,48,2501,4
6,113,95,18,5,89,74,15,5,48,2501,4
7,89,73,16,5,89,75,14,5,48,2501,4
8,105,82,23,5,97,75,22,5,48,2501,4
9,99,86,13,5,94,78,16,5,48,2501,4
10,114,94,20,5,91,77,14,5,48,2501,4
1,98,79,19,5,90,75,15,5,163,641,4
2,101,85,16,5,94,78,16,5,163,641,4
3,119,100,19,5,92,76,16,5,163,641,4
4,119,98,21,5,96,77,19,5,163,641,4
5,121,96,25,5,92,77,15,5,163,641,4
6,113,95,18,5,89,74,15,5,163,641,4
7,89,73,16,5,89,75,14,5,163,641,4
8,105,82,23,5,97,75,22,5,163,641,4
9,99,86,13,5,94,78,16,5,163,641,4
10,114,94,20,5,91,77,14,5,163,641,4
1,53,36,17,5,71,55,16,5,434,3374,4
2,65,39,26,5,80,64,16,5,434,3374,4
3,50,36,14,5,69,54,15,5,434,3374,4
4,47,36,11,5,76,62,14,5,434,3374,4
5,52,31,21,5,68,59,9,5,434,3374,4
6,57,38,19,5,65,52,13,5,434,3374,4
7,57,34,23,5,81,60,21,5,434,3374,4
8,52,34,18,5,80,61,19,5,434,3374,4
9,54,33,21,5,81,64,17,5,434,3374,4
10,63,35,28,5,88,66,22,5,434,3374,4
1,52,34,18,5,61,48,13,5,447,827,4
2,68,40,28,5,74,59,15,5,447,827,4
3,56,37,19,5,68,54,14,5,447,827,4
4,50,38,12,5,77,62,15,5,447,827,4
5,47,32,15,5,74,62,12,5,447,827,4
6,62,40,22,5,64,53,11,5,447,827,4
7,48,31,17,5,87,65,22,5,447,827,4
8,55,33,22,5,85,67,18,5,447,827,4
9,55,32,23,5,83,64,19,5,447,827,4
10,57,33,24,5,92,68,24,5,447,827,4
1,53,37,16,5,93,73,20,5,431,3028,4
2,61,40,21,5,82,67,15,5,431,3028,4
3,63,41,22,5,80,66,14,5,431,3028,4
4,54,36,18,5,66,48,18,5,431,3028,4
5,44,32,12,5,54,42,12,5,431,3028,4
6,57,37,20,5,75,55,20,5,431,3028,4
7,65,39,26,5,74,55,19,5,431,3028,4
8,48,29,19,5,59,46,13,5,431,3028,4
9,66,39,27,5,72,58,14,5,431,3028,4
10,58,35,23,5,77,59,18,5,431,3028,4
1,98,79,19,5,90,75,15,5,256,2371,4
2,101,85,16,5,94,78,16,5,256,2371,4
3,119,100,19,5,92,76,16,5,256,2371,4
4,119,98,21,5,96,77,19,5,256,2371,4
5,121,96,25,5,92,77,15,5,256,2371,4
6,113,95,18,5,89,74,15,5,256,2371,4
7,89,73,16,5,89,75,14,5,256,2371,4
8,105,82,23,5,97,75,22,5,256,2371,4
9,99,86,13,5,94,78,16,5,256,2371,4
10,114,94,20,5,91,77,14,5,256,2371,4
1,98,79,19,5,90,75,15,5,191,3156,4
2,101,85,16,5,94,78,16,5,191,3156,4
3,119,100,19,5,92,76,16,5,191,3156,4
4,119,98,21,5,96,77,19,5,191,3156,4
5,121,96,25,5,92,77,15,5,191,3156,4
6,113,95,18,5,89,74,15,5,191,3156,4
7,89,73,16,5,89,75,14,5,191,3156,4
8,105,82,23,5,97,75,22,5,191,3156,4
9,99,86,13,5,94,78,16,5,191,3156,4
10,114,94,20,5,91,77,14,5,191,3156,4
1,98,79,19,5,90,75,15,5,187,711,4
2,101,85,16,5,94,78,16,5,187,711,4
3,119,100,19,5,92,76,16,5,187,711,4
4,119,98,21,5,96,77,19,5,187,711,4
5,121,96,25,5,92,77,15,5,187,711,4
6,113,95,18,5,89,74,15,5,187,711,4
7,89,73,16,5,89,75,14,5,187,711,4
8,105,82,23,5,97,75,22,5,187,711,4
9,99,86,13,5,94,78,16,5,187,711,4
10,114,94,20,5,91,77,14,5,187,711,4
1,54,37,17,5,76,58,18,5,440,1288,4
2,53,37,16,5,88,69,19,5,440,1288,4
3,60,38,22,5,72,62,10,5,440,1288,4
4,57,37,20,5,73,57,16,5,440,1288,4
5,67,41,26,5,72,57,15,5,440,1288,4
6,60,35,25,5,86,65,21,5,440,1288,4
7,52,32,20,5,72,55,17,5,440,1288,4
8,46,30,16,5,68,52,16,5,440,1288,4
9,54,32,22,5,74,57,17,5,440,1288,4
10,49,32,17,5,70,56,14,5,440,1288,4
1,98,79,19,5,90,75,15,5,163,3647,4
2,101,85,16,5,94,78,16,5,163,3647,4
3,119,100,19,5,92,76,16,5,163,3647,4
4,119,98,21,5,96,77,19,5,163,3647,4
5,121,96,25,5,92,77,15,5,163,3647,4
6,113,95,18,5,89,74,15,5,163,3647,4
7,89,73,16,5,89,75,14,5,163,3647,4
8,105,82,23,5,97,75,22,5,163,3647,4
9,99,86,13,5,94,78,16,5,163,3647,4
10,114,94,20,5,91,77,14,5,163,3647,4
1,98,79,19,5,90,75,15,5,182,1656,4
2,101,85,16,5,94,78,16,5,182,1656,4
